center_x,center_y,center_z,psi
6.792608945086879,4.365985866835673,6.546394346734269,0.0
6.783560257794152,4.39218904122047,6.556875616488188,0.0
6.774322723733214,4.418172372816891,6.567268949126756,0.0
6.764896707586094,4.443931758555669,6.577572703422268,0.0
6.755282581475767,4.469463130731183,6.587785252292473,0.0
6.745480724951473,4.494762457643797,6.597904983057519,0.0
6.735491524973722,4.519825744236513,6.6079302976946055,0.0
6.725315375899024,4.544649032725836,6.617859613090334,0.0
6.714952679464322,4.569228403226751,6.627691361290701,0.0
6.704403844771127,4.593559974371724,6.637423989748689,0.0
6.69366928826937,4.61763990392361,6.6470559615694444,0.0
6.682749433740962,4.641464389382391,6.656585755752957,0.0
6.67164471228306,4.665029668585629,6.666011867434252,0.0
6.660355562291055,4.6883320203025605,6.675332808121024,0.0
6.648882429441256,4.711367764821722,6.684547105928688,0.0
6.637225766673306,4.734133264532012,6.693653305812805,0.0
6.6253860341722906,4.756624924497123,6.702649969798849,0.0
6.613363699350574,4.778839193023213,6.711535677209286,0.0
6.601159236829352,4.800772562219768,6.720309024887907,0.0
6.588773128419906,4.822421568553529,6.728968627421412,0.0
6.576205863104588,4.843782793395435,6.737513117358174,0.0
6.563457937017514,4.864852863560455,6.745941145424182,0.0
6.550529853424978,4.88562845184026,6.754251380736104,0.0
6.537422122705585,4.90610627752862,6.762442511011448,0.0
6.524135262330098,4.926283106939473,6.770513242775789,0.0
6.5106697968410145,4.946155753917559,6.778462301567023,0.0
6.497026257831855,4.965721080341547,6.786288432136619,0.0
6.483205183926179,4.984975996619589,6.793990398647836,0.0
6.469207120756319,5.003917462177191,6.801566984870877,0.0
6.455032620941839,5.022542485937368,6.8090169943749475,0.0
6.440682244067723,5.04084812679296,6.816339250717184,0.0
6.426156556662276,5.058831494071068,6.823532597628428,0.0
6.4114561321747665,5.076489747989531,6.830595899195813,0.0
6.3965815509527815,5.093820100105354,6.837528040042142,0.0
6.381533400219318,5.110819813755038,6.844327925502015,0.0
6.3663122740496005,5.12748620448673,6.850994481794692,0.0
6.350918773347629,5.143816640484131,6.857526656193652,0.0
6.33535350582245,5.159808542982088,6.863923417192836,0.0
6.319617085964176,5.175459386673815,6.870183754669526,0.0
6.303710135019719,5.190766700109659,6.8763066800438635,0.0
6.287633280968261,5.205728066087383,6.882291226434953,0.0
6.271387158496475,5.220341122033862,6.888136448813545,0.0
6.254972408973459,5.23460356037816,6.8938414241512636,0.0
6.238389680425416,5.248513128915928,6.899405251566371,0.0
6.221639627510076,5.262067631165049,6.90482705246602,0.0
6.204722911490846,5.275264926712489,6.910105970684995,0.0
6.1876402002107085,5.288102931552293,6.9152411726209175,0.0
6.170392168065856,5.300579618414676,6.92023184736587,0.0
6.152979495979063,5.312693017086145,6.925077206834458,0.0
6.1354028713728095,5.324441214720628,6.929776485888251,0.0
6.117662988142137,5.33582235614153,6.934328942456612,0.0
6.0997605466272615,5.346834644134685,6.938733857653874,0.0
6.081696253585919,5.357476339732161,6.942990535892864,0.0
6.06347082216547,5.3677457624868605,6.947098304994745,0.0
6.045084971874737,5.377641290737884,6.951056516295154,0.0
6.026539428555609,5.387161361866607,6.954864544746643,0.0
6.007834924354383,5.39630447254344,6.958521789017376,0.0
5.988972197692855,5.405069178965214,6.962027671586085,0.0
5.969951993239177,5.413454097083185,6.965381638833274,0.0
5.950775061878452,5.421457902821578,6.968583161128631,0.0
5.931442160683094,5.429079332286685,6.971631732914674,0.0
5.911954052882941,5.436317181966443,6.974526872786577,0.0
5.892311507835117,5.443170308920484,6.9772681235681935,0.0
5.872515300993669,5.449637630960617,6.979855052384247,0.0
5.852566213878946,5.455718126821722,6.982287250728689,0.0
5.832465034046749,5.461410836323013,6.984564334529205,0.0
5.81221255505724,5.46671486051967,6.986685944207868,0.0
5.79180957644361,5.471629361844785,6.988651744737914,0.0
5.771256903680519,5.476153564241628,6.990461425696651,0.0
5.750555348152298,5.480286753286195,6.9921147013144775,0.0
5.729705727120911,5.484028276300021,6.993611310520008,0.0
5.708708863693696,5.487377542453251,6.9949510169813,0.0
